run,gen,alpha,mu,vol
1,3,1142.494212,9.529,1379.5754331262078
1,3,438.970213,16.777,500.66459725900626
1,3,686.43532,6.551,840.260807815286
1,3,716.950417,20.11,903.7727359731415
1,3,737.112867,10.512,852.0094833436843
1,3,652.295282,27.927,779.0195447110029
1,3,801.208769,14.374,1017.9948914777991
1,3,1225.514247,22.896,1561.096683244278
1,3,640.46152,17.637,731.8061269731506
1,3,603.553336,11.595,709.3460681125042
1,3,795.350939,13.843,1080.8825997493805
1,3,688.226186,22.24,827.124101420339
1,3,664.455645,1.801,816.7377288603425
1,3,446.495611,16.881,519.8858250974686
1,4,657.199741,45.515,829.6372279009518
1,4,609.263763,35.615,732.731850104757
1,4,699.499681,30.914,822.6900820116284
1,4,630.720193,27.949,768.406476392508
1,4,652.295282,27.927,779.0195447110029
1,4,554.560472,24.709,680.2358825387662
1,4,535.349968,23.852,671.2251866528866
1,4,528.808164,21.801,675.0016148925257
1,4,712.564243,22.883,824.8974724845248
1,4,657.823136,22.651,809.0300613858386
1,4,688.226186,22.24,827.124101420339
1,4,679.158419,21.965,831.5398640297768
1,4,438.970213,16.777,500.66459725900626
1,4,698.108671,21.529,839.5778204571363
1,4,446.495611,16.881,519.8858250974686
1,4,716.950417,20.11,903.7727359731415
1,4,723.426143,14.408,923.3790558501878
1,4,678.53884,13.961,783.4147960701249
1,4,710.004903,19.388,830.8833154353921
1,4,583.737305,41.399,728.0609442328439
1,4,413.081052,16.308,471.58491732220676
1,4,573.269992,3.755,736.3432159518275
1,4,578.420986,20.889,720.017354481886
1,4,633.324782,28.483,759.0075154833643
1,4,817.008234,15.601,1054.1971737825938
1,4,2534.953076,20.666,3047.4725050757747
1,4,432.322601,14.241,500.40631230033915
1,4,569.256857,27.399,712.6186770481373
1,4,624.501948,12.885,752.2417220444481
1,4,729.579202,34.152,851.842858044811
1,4,706.827347,28.183,876.0622737524268
1,4,430.357703,18.077,496.62216087763295
1,5,657.199741,45.515,829.6372279009518
1,5,583.737305,41.399,728.0609442328439
1,5,609.263763,35.615,732.731850104757
1,5,729.579202,34.152,851.842858044811
1,5,699.499681,30.914,822.6900820116284
1,5,633.324782,28.483,759.0075154833643
1,5,569.256857,27.399,712.6186770481373
1,5,630.720193,27.949,768.406476392508
1,5,652.295282,27.927,779.0195447110029
1,5,706.827347,28.183,876.0622737524268
1,5,554.560472,24.709,680.2358825387662
1,5,535.349968,23.852,671.2251866528866
1,5,528.808164,21.801,675.0016148925257
1,5,430.357703,18.077,496.62216087763295
1,5,712.564243,22.883,824.8974724845248
1,5,657.823136,22.651,809.0300613858386
1,5,631.695223,26.95,758.2915746994154
1,5,543.399565,19.095,701.5826203442537
