gen,min_alpha_term,max_alpha_term,med_alpha_term,min_mu_term,max_mu_term,med_mu_term
49,0.842099,0.829605,0.806235,4.72977104516147E+016,5.74026201068866E+020,3.24048753764879E+020
50,0.804416,0.829605,0.796067,5.84362089275432E+018,5.74026201068866E+020,3.24678280560425E+020
51,0.796978,0.829605,0.796067,9.0757090041727E+017,5.74026201068866E+020,3.24678280560425E+020
52,0.732231,0.829605,0.796067,2.79770926730731E+018,5.74026201068866E+020,3.24678280560425E+020
53,0.798121,0.829605,0.809925,2.35543502615714E+019,5.74026201068866E+020,3.27981387703959E+020
54,0.746093,0.829605,0.809925,2.12797808966902E+018,5.74026201068866E+020,3.27981387703959E+020
55,0.790188,0.829605,0.809925,8.44723369020096E+017,5.74026201068866E+020,3.27981387703959E+020
56,0.814886,0.829605,0.783806,1.56483635485227E+018,5.74026201068866E+020,3.29055923196318E+020
57,0.862473,0.829605,0.783806,2.65202738563363E+018,5.74026201068866E+020,3.29055923196318E+020
58,0.888878,0.829605,0.783806,1.07441609438269E+018,5.74026201068866E+020,3.29055923196318E+020
59,0.844577,0.829605,0.783806,5.39856114858187E+018,5.74026201068866E+020,3.29055923196318E+020
60,0.779022,0.829605,0.812136,1.04493824627031E+019,5.74026201068866E+020,3.40468859867013E+020
61,0.766422,0.829605,0.812136,2.0457130552006E+019,5.74026201068866E+020,3.40468859867013E+020
62,0.835892,0.829605,0.812136,1.35162348292054E+019,5.74026201068866E+020,3.40468859867013E+020
63,0.780936,0.829605,0.812136,2.82207559654646E+018,5.74026201068866E+020,3.40468859867013E+020
64,0.748154,0.829605,0.812136,7.88082865995888E+018,5.74026201068866E+020,3.40468859867013E+020
65,0.805222,0.829605,0.791098,2.07834906807728E+018,5.74026201068866E+020,3.4281548790636E+020
66,0.864211,0.829605,0.791098,1.34509486271032E+018,5.74026201068866E+020,3.4281548790636E+020
67,0.817357,0.829605,0.791098,5.98017262122774E+019,5.74026201068866E+020,3.4281548790636E+020
68,0.852801,0.829605,0.791098,1.01266329082521E+018,5.74026201068866E+020,3.4281548790636E+020
69,0.832197,0.829605,0.791098,3.9495202792088E+018,5.74026201068866E+020,3.4281548790636E+020
70,0.760464,0.829605,0.791098,3.72991445018063E+019,5.74026201068866E+020,3.4281548790636E+020
71,0.792775,0.829605,0.791098,1.91528064839977E+018,5.74026201068866E+020,3.4281548790636E+020
72,0.85544,0.829605,0.791098,1.31627225425292E+018,5.74026201068866E+020,3.4281548790636E+020
73,0.817906,0.829605,0.791098,8.2337694493559E+018,5.74026201068866E+020,3.4281548790636E+020
74,0.795992,0.829605,0.791098,2.93514332799064E+018,5.74026201068866E+020,3.4281548790636E+020
75,0.831306,0.829605,0.791098,3.53228284907993E+018,5.74026201068866E+020,3.4281548790636E+020
76,0.831396,0.829605,0.791098,8.5874580392763E+018,5.74026201068866E+020,3.4281548790636E+020
77,0.749755,0.829605,0.791098,4.89481335769504E+018,5.74026201068866E+020,3.4281548790636E+020
78,0.897705,0.829605,0.791098,6.71341153927638E+017,5.74026201068866E+020,3.4281548790636E+020
79,0.857502,0.829605,0.791098,5.11344905529092E+019,5.74026201068866E+020,3.4281548790636E+020
80,0.882907,0.829605,0.791098,2.66224598534528E+019,5.74026201068866E+020,3.4281548790636E+020
81,0.785639,0.829605,0.791098,2.04996092715234E+018,5.74026201068866E+020,3.4281548790636E+020
82,0.800199,0.829605,0.791098,1.19824847957163E+019,5.74026201068866E+020,3.4281548790636E+020
83,0.766786,0.829605,0.791098,2.77897635356074E+018,5.74026201068866E+020,3.4281548790636E+020
84,0.782675,0.829605,0.791098,6.46455029480276E+017,5.74026201068866E+020,3.4281548790636E+020
85,0.831401,0.829605,0.791098,2.45586289652846E+018,5.74026201068866E+020,3.4281548790636E+020
86,0.849783,0.829605,0.791098,2.68603911659384E+018,5.74026201068866E+020,3.4281548790636E+020
87,0.793987,0.829605,0.791098,4.24646529010641E+019,5.74026201068866E+020,3.4281548790636E+020
88,0.780219,0.829605,0.791098,3.57556007670527E+018,5.74026201068866E+020,3.4281548790636E+020
89,0.80456,0.829605,0.791098,5.64832319364467E+018,5.74026201068866E+020,3.4281548790636E+020
90,0.768711,0.829605,0.791098,2.91594374392602E+018,5.74026201068866E+020,3.4281548790636E+020
91,0.849398,0.829605,0.791098,3.53457542033914E+017,5.74026201068866E+020,3.4281548790636E+020
92,0.791144,0.829605,0.803093,2.01169402882588E+019,5.74026201068866E+020,3.4321158914233E+020
93,0.811262,0.829605,0.803093,7.45944603838044E+018,5.74026201068866E+020,3.4321158914233E+020
94,0.808875,0.829605,0.803093,1.28583552473971E+019,5.74026201068866E+020,3.4321158914233E+020
95,0.785077,0.829605,0.79713,3.51350004683283E+018,5.74026201068866E+020,3.47573431680892E+020
96,0.836737,0.829605,0.79713,8.01739087125364E+018,5.74026201068866E+020,3.47573431680892E+020
97,0.805133,0.829605,0.79713,5.58217963329882E+017,5.74026201068866E+020,3.47573431680892E+020
98,0.810155,0.829605,0.79713,7.96504155616101E+018,5.74026201068866E+020,3.47573431680892E+020
99,0.831318,0.829605,0.797286,4.3688400532864E+018,5.74026201068866E+020,3.50159524795573E+020
100,0.770991,0.829605,0.797286,2.18566637074445E+019,5.74026201068866E+020,3.50159524795573E+020
