mono,mu,alpha
235,0.436,131.114573
1086,0.849,144.950958
987,0.087,123.982418
871,3.038,120.600141
189,2.11,105.713861
852,6.001,96.767191
766,1.953,221.991106
649,5.77,75.790065
818,0.899,106.639038
650,2.424,113.382056
178,1.506,157.640987
20,3.812,105.874161
1159,6.263,96.747907
1115,2.597,77.487048
727,2.773,158.827413
50,0.107,210.200552
262,0.465,94.191899
779,1.197,167.421627
448,1.197,87.712153
72,3.153,85.301292
88,1.699,114.388937
597,1.397,108.381028
243,2.604,73.505768
974,6.335,100.688053
338,2.958,105.746338
670,1.506,99.058366
333,7.425,98.198829
108,0.98,88.196377
478,0.476,104.938466
246,1.484,155.801845
279,4.641,95.923778
1016,1.411,74.675985
1054,0.897,87.55562
1030,2.027,189.264719
196,0.05,227.782914
947,2.34,147.144081
664,0.431,134.401827
942,3.172,468.135423
194,4.432,93.791429
145,4.796,234.16359
627,1.381,128.008642
951,5.307,105.48988
117,0.711,160.057012
726,1.29,233.877832
1053,2.935,111.178074
220,3.103,133.453923
771,2.068,121.414864
388,5.003,490.755245
366,1.611,226.520864
207,4.561,160.861648
300,1.289,124.450785
1003,0.968,161.360183
221,0.759,98.621253
8,3.05,117.429406
159,2.823,204.916995
483,0.0,70.11382
911,0.385,72.487943
691,1.673,93.351371
885,2.644,117.453147
38,1.792,151.375111
1052,2.143,113.737314
1082,1.994,88.751141
153,0.079,69.941732
1229,0.561,96.764962
164,0.588,96.522975
1205,5.451,109.584939
234,3.779,108.224438
753,2.384,126.692988
479,1.25,141.852134
1062,3.392,165.671878
334,1.755,97.241882
470,5.507,144.538998
983,1.505,104.050008
368,1.217,120.236278
1078,3.349,128.784204
573,6.078,111.749452
461,2.007,164.670571
533,0.179,192.883123
449,0.715,182.596119
1088,5.966,151.917503
593,0.094,136.392053
389,5.755,93.934587
964,0.873,121.90658
611,1.817,155.518864
673,3.547,100.273132
1001,1.642,148.600213
867,10.296,155.939066
481,7.326,141.444371
1147,4.314,129.409074
1185,2.401,134.658531
629,0.015,129.537461
236,3.552,152.195433
568,2.439,147.710063
999,2.746,113.902955
431,4.628,101.67871
919,0.073,134.685744
845,3.676,130.937135
1120,2.097,80.705562
410,0.166,321.551181
457,1.199,101.551547
1126,0.003,68.295463
179,5.255,101.324487
197,0.922,148.524865
456,2.143,181.908858
34,3.492,134.052816
1046,0.112,105.816183
1099,2.847,162.989591
1182,4.892,106.073314
631,1.17,139.004355
973,2.474,111.108818
877,3.071,156.58423
123,0.956,152.039311
780,0.312,146.543686
511,0.334,119.069229
695,4.711,135.07909
270,2.412,144.457546
799,2.082,180.360721
208,0.512,113.645288
1023,1.802,131.970111
1176,3.682,77.825164
167,3.183,143.092841
191,4.749,107.388369
256,1.022,133.285745
1227,2.923,119.286005
790,3.068,137.924233
745,4.308,117.709275
688,0.723,130.835758
713,3.895,302.641753
792,2.085,210.247807
685,3.524,121.248206
502,5.472,121.986659
434,5.246,128.515819
986,6.337,113.230995
303,3.324,183.336212
365,1.058,183.87861
212,0.95,136.370738
132,0.021,228.477684
376,0.93,87.56207
297,2.843,178.773925
661,0.955,96.822535
357,1.999,77.037054
723,1.227,137.040116
783,0.478,154.300535
492,3.004,135.074118
769,1.433,194.556412
155,2.76,125.750543
1162,1.909,113.913173
1089,2.825,89.753262
857,4.327,116.888108
1165,4.875,150.558068
540,0.244,136.48901
319,5.717,124.288158
804,2.983,169.054635
76,3.283,138.799477
1128,1.654,102.396913
672,1.882,80.485322
395,4.945,93.858692
86,2.927,107.342367
17,1.004,164.502589
29,1.643,125.778451
198,2.706,220.755171
370,2.397,130.139716
1195,6.327,119.192863
1110,1.171,149.812206
741,3.708,138.399054
820,0.229,95.815823
846,3.942,118.375263
858,2.601,140.006535
967,1.102,108.680396
583,0.905,84.011868
647,2.187,113.924467
66,2.697,206.641134
1177,0.101,175.011081
253,1.205,80.727795
425,0.0,132.858323
137,2.135,124.800793
529,0.11,113.488652
1022,1.426,84.570072
493,2.513,104.100384
438,1.959,154.800067
552,0.846,61.505829
996,7.146,119.653958
474,2.341,69.555888
835,2.54,56.119873
746,2.822,188.591402
151,1.346,128.292762
371,0.364,72.523483
782,2.474,93.944605
4,3.674,97.253549
1080,4.212,142.584062
1230,5.272,119.675711
504,2.901,98.052576
530,3.176,86.075497
945,2.423,155.172562
625,2.468,132.068404
798,0.742,142.268696
606,0.588,96.522979
499,2.192,141.807693
829,0.011,147.821902
813,2.453,82.932142
53,3.213,58.523899
756,0.183,49.654827
267,5.432,78.267908
244,2.57,178.154247
1232,3.037,221.976622
655,3.207,121.224692
521,2.259,107.6441
455,0.469,91.111825
868,2.195,82.43041
1197,0.103,133.843077
577,1.221,81.787369
1043,1.117,142.813464
81,1.783,125.803587
929,6.252,118.954059
311,2.145,79.857527
472,1.086,118.831426
26,2.078,99.596905
199,2.691,229.1829
67,2.174,232.76922
684,1.356,207.547144
237,2.728,102.403219
1124,0.338,57.534258
909,2.022,114.739653
596,1.955,141.187871
733,0.0,27.753606
1134,2.049,104.221033
525,8.254,197.148447
1201,1.776,135.580101
548,1.095,87.949309
900,1.16,116.460683
1064,2.842,122.975431
245,1.888,117.901989
614,1.331,129.901265
770,2.126,188.524361
581,2.247,107.636794
542,1.965,152.054578
219,3.397,135.720467
402,4.807,178.008168
252,0.811,138.983423
80,0.575,148.920304
41,1.193,136.033648
680,3.913,87.704018
926,4.912,120.367459
1150,0.015,63.859574
429,1.852,204.500557
264,3.774,105.966306
346,0.817,132.9545
330,0.627,86.466971
785,2.484,139.700235
834,1.653,113.306465
851,1.386,130.390417
331,0.418,127.484537
816,2.712,135.748147
620,1.794,127.860634
114,3.025,311.241696
477,0.869,107.260541
43,3.522,129.651187
626,1.076,115.25426
367,0.02,133.278493
1048,4.02,89.726824
1129,3.635,125.677643
513,1.977,62.338763
1074,1.872,150.796106
509,7.275,101.996705
94,1.589,116.589699
558,0.916,65.014367
841,1.558,142.128331
447,0.462,127.466474
788,0.0,121.414373
11,2.71,129.375105
265,1.37,144.893397
903,2.854,108.61498
1154,4.266,98.610275
1153,1.25,344.221483
553,0.788,161.171275
979,2.698,146.510177
469,1.537,117.274065
946,2.928,120.214693
268,0.96,158.865407
1031,2.326,142.119654
1084,1.722,182.131765
578,1.671,118.719947
1036,0.214,119.107714
202,3.867,49.760059
676,2.023,131.222443
594,1.542,182.091012
801,0.32,247.820988
498,5.85,146.812879
1040,2.854,157.537451
884,1.662,132.936219
9,1.814,111.410744
901,1.124,99.04313
1104,1.317,216.724033
731,4.943,64.179884
1199,2.124,116.999996
921,0.96,128.650167
317,7.912,153.150486
430,0.992,103.173575
192,3.118,141.914538
1025,1.997,73.982198
1191,1.711,135.833865
39,5.481,114.87339
384,4.024,120.032164
1117,1.954,143.957061
764,2.167,222.071415
765,3.017,78.492102
889,1.104,124.208484
925,3.545,166.362843
1116,1.14,156.955255
408,2.911,158.39864
27,3.196,112.288785
1203,2.197,90.510291
940,5.889,145.488982
1209,1.459,131.992843
696,3.276,173.273891
33,0.922,121.571993
880,5.199,168.229451
281,1.826,109.424761
709,0.984,188.04607
913,1.398,131.123532
1233,6.295,105.125417
2,1.331,108.601745
724,1.521,90.337024
751,4.169,77.538598
826,2.169,143.816625
360,1.958,103.218911
904,0.976,65.324699
232,0.549,155.399511
675,2.335,81.550988
545,4.317,134.928165
428,2.388,146.485143
1012,1.245,139.014554
1091,5.207,136.513854
805,0.756,119.088712
819,2.025,136.638105
1071,1.251,86.586633
305,4.217,110.420432
441,3.832,325.170688
729,0.022,170.348385
580,2.988,112.482325
534,1.118,211.194553
1184,1.232,190.707398
838,5.588,211.415988
99,3.484,86.808336
68,0.781,127.000056
1210,0.631,156.686015
1144,1.626,148.113449
656,3.536,165.868619
141,6.03,116.430713
1020,4.344,312.594763
881,1.486,115.947722
31,2.271,90.675206
899,5.248,106.892106
787,2.318,81.951098
241,2.117,118.102137
116,4.991,162.22273
275,4.74,112.568762
520,7.351,93.895967
821,1.215,115.84711
1111,0.0,71.358825
1021,3.54,217.172746
514,6.224,86.639991
74,0.854,109.257014
0,5.446,95.732036
1217,2.469,215.324133
794,3.219,107.863512
1167,3.88,254.03052
5,1.179,88.516795
739,2.334,107.313287
659,1.089,109.391328
1094,4.805,150.275733
101,1.884,99.057066
697,1.262,215.629407
322,4.345,96.798858
641,0.667,138.807821
488,3.806,108.798018
1093,2.508,102.468685
618,6.465,133.935476
415,2.769,148.293935
912,2.99,201.276266
748,0.118,140.741887
1135,0.539,136.74227
809,3.537,117.223922
690,1.348,155.710891
937,1.771,122.920517
924,4.025,150.506416
480,2.021,127.816734
412,4.462,119.184927
969,2.39,79.784221
142,0.614,184.552433
612,0.438,69.567475
382,1.66,173.731645
891,2.432,160.68258
1112,2.998,126.216029
285,3.853,130.757681
433,0.419,147.573488
288,0.548,105.777278
506,0.474,71.479909
602,2.749,81.058907
982,3.933,119.668398
997,0.482,125.068698
887,1.496,433.625331
589,1.213,82.845319
63,0.0,76.719989
266,4.101,87.740269
1095,2.34,157.182808
604,2.503,94.573675
905,1.914,159.241184
1047,4.49,137.178837
1139,3.085,89.93556
825,1.75,128.826188
588,3.318,85.285886
630,5.254,125.296023
259,1.811,128.830928
47,0.715,130.578595
1100,2.88,137.899215
28,2.762,51.123325
7,1.561,158.47412
1059,2.542,105.594246
827,5.137,101.627462
339,1.217,151.39661
565,1.596,126.570902
1173,9.356,150.395894
828,4.725,109.044742
54,3.167,118.277476
613,0.113,108.395859
95,2.555,115.310021
1149,2.204,95.573256
427,5.117,79.211237
1061,1.888,143.759382
364,1.152,131.038954
485,1.119,156.596109
1118,2.706,100.067061
424,5.338,86.577367
347,4.153,89.894645
862,1.78,134.396692
557,3.832,87.686017
107,2.087,128.966514
1029,0.219,188.490756
1019,2.955,213.351765
915,3.034,124.974375
475,2.009,77.585482
152,0.533,147.62208
674,5.951,79.179846
3,1.372,161.578701
544,1.427,110.744567
1157,0.372,63.661087
182,0.095,113.494555
36,5.475,132.524949
1200,1.205,80.727793
642,1.303,80.921293
538,3.472,142.153315
118,2.452,92.763932
590,2.421,99.421819
736,1.12,86.091629
1066,0.003,182.029844
468,5.067,128.005228
815,2.401,120.203943
181,1.968,110.555289
860,5.123,83.057656
855,5.834,79.306462
755,2.733,205.619813
343,2.132,85.81003
184,6.488,94.443294
870,4.473,220.118643
955,2.186,185.027702
541,3.553,74.740476
215,0.301,222.0158
484,0.187,95.118162
75,3.213,58.523893
882,5.13,112.268711
175,3.489,151.347706
82,1.383,103.332954
1077,3.943,97.560325
1027,4.71,136.612727
1103,0.0,50.341083
897,5.017,97.468242
401,5.273,161.685562
445,0.661,183.43188
823,0.372,210.102022
890,0.001,199.445688
344,2.468,80.848787
1146,6.192,115.943503
60,4.534,116.345824
570,3.234,40.917718
231,2.956,129.869538
814,3.218,152.166404
595,2.096,102.287801
301,0.579,69.518358
895,3.386,143.773265
1218,1.882,133.98999
128,0.007,135.862989
1122,2.904,113.941215
671,5.496,75.051234
146,2.749,81.058913
1188,0.788,138.803338
1070,2.971,151.987732
482,6.334,134.202239
411,6.258,239.325772
965,0.358,232.635441
571,1.147,162.30082
1132,3.677,148.028993
255,0.61,181.548547
345,2.214,100.071207
138,0.012,227.754709
37,4.109,98.490418
324,0.633,150.03866
45,0.669,205.969696
387,3.787,112.838162
19,5.577,161.450455
1121,1.739,95.010564
1034,3.485,139.702789
302,2.046,124.101522
459,0.529,127.466402
624,4.419,110.173858
883,2.525,108.602134
329,3.313,63.31228
1193,1.381,90.229721
336,3.312,80.189195
355,2.124,39.768497
1075,0.094,250.27143
1105,1.602,84.874089
172,5.166,73.192434
617,0.639,158.911498
378,1.982,100.375025
700,4.388,142.564483
532,5.922,115.680575
863,3.867,131.30132
651,2.825,120.260449
1212,0.245,186.594339
407,1.781,169.71725
657,4.571,136.257998
193,1.213,117.339223
465,4.439,160.037813
648,2.245,110.24959
109,0.014,90.403388
598,1.948,131.094053
473,2.093,94.462404
1175,2.835,314.677563
1216,0.899,110.146446
923,5.091,119.966565
817,2.776,99.28276
375,0.469,91.111827
1138,7.431,118.817652
586,0.0,49.992244
12,1.804,136.091241
1008,0.238,198.152143
1013,3.585,160.935893
566,6.95,92.284675
391,3.362,148.601697
869,4.606,110.979084
1014,6.801,127.444987
1219,1.691,165.377581
171,2.377,113.314555
183,2.484,95.458353
961,6.877,124.499253
248,2.425,100.465221
920,5.495,101.53988
1137,1.93,106.250407
310,0.68,136.708149
