run,gen,alpha,mu,vol
1,5,737.872704,12.176,957.4973178305395
1,5,579.65523,18.215,722.1246032134948
1,5,642.696389,27.786,776.6894591591013
1,5,932.341824,26.49,1193.6890285389281
1,5,979.21504,23.172,1127.595127892621
1,5,900.520148,30.431,1170.240375406655
1,5,986.014973,18.014,1225.9521655153626
1,5,852.624108,15.223,1100.0868995498947
1,6,645.659148,38.572,767.6933964237863
1,6,1057.650232,43.59,1234.938737853682
1,6,637.390316,32.753,754.5443020535763
1,6,1057.280331,39.916,1234.657334372902
1,6,686.127765,31.313,825.1288926472652
1,6,705.022287,30.789,841.4357206749726
1,6,764.362073,31.382,915.3409991606638
1,6,622.52054,27.666,742.2183258792523
1,6,685.145674,29.236,835.5680054788304
1,6,955.145773,34.788,1200.640320547285
1,6,642.696389,27.786,776.6894591591013
1,6,629.32059,26.891,741.2693012657438
1,6,783.673957,29.249,934.4311173923904
1,6,618.358517,25.965,742.8327106042811
1,6,806.291672,29.641,995.2636386573569
1,6,920.532391,31.539,1129.936987245522
1,6,689.000676,33.178,834.446100498907
1,6,625.988402,5.36,754.1936495678251
1,6,666.719051,30.412,833.2593898551025
1,6,1030.982514,19.531,1299.8870326022404
1,6,672.673023,24.174,819.386692899947
1,6,642.957768,35.872,763.4411859923753
1,6,1691.824301,13.837,2058.442955077744
1,6,620.547256,29.607,742.4765394151193
1,6,601.637249,38.141,750.3185132839751
1,6,608.909379,26.25,730.5519474661742
1,6,687.775123,25.583,803.6603078528902
1,6,669.129725,26.497,809.9343387512235
1,6,856.112564,16.431,1015.5522442037825
1,6,777.128391,24.729,928.1668092970635
1,6,718.268765,8.709,885.485833349727
1,6,1102.839532,41.455,1269.6723868242582
1,7,601.637249,38.141,750.3185132839751
1,7,645.659148,38.572,767.6933964237863
1,7,642.957768,35.872,763.4411859923753
1,7,1057.650232,43.59,1234.938737853682
1,7,637.390316,32.753,754.5443020535763
1,7,1102.839532,41.455,1269.6723868242582
1,7,689.000676,33.178,834.446100498907
1,7,1057.280331,39.916,1234.657334372902
1,7,686.127765,31.313,825.1288926472652
1,7,620.547256,29.607,742.4765394151193
1,7,705.022287,30.789,841.4357206749726
1,7,666.719051,30.412,833.2593898551025
1,7,764.362073,31.382,915.3409991606638
1,7,622.52054,27.666,742.2183258792523
1,7,685.145674,29.236,835.5680054788304
1,7,955.145773,34.788,1200.640320547285
1,7,910.305904,27.38,1155.6150543071344
1,7,632.049206,9.246,800.7237223503116
1,7,833.820416,17.6,950.8570446394742
1,7,706.092802,14.869,844.0967845398245
1,7,1049.443758,20.91,1254.079433745336
1,7,732.622265,31.274,890.0453627264941
1,7,618.358517,25.965,742.8327106042811
1,7,1011.598467,37.83,1199.130403846773
1,7,624.410321,22.653,744.0174555489615
1,7,616.509682,28.234,743.0729167494446
1,7,775.485014,27.757,967.9891449500266
1,7,685.279259,30.563,816.864163854205
1,7,795.651396,15.628,944.7044341210411
1,7,1141.720413,14.138,1284.805599403387
1,7,506.696108,17.938,624.8038546886664
1,7,655.774624,23.583,800.6527769761378
1,8,601.637249,38.141,750.3185132839751
1,8,645.659148,38.572,767.6933964237863
1,8,642.957768,35.872,763.4411859923753
1,8,1057.650232,43.59,1234.938737853682
1,8,637.390316,32.753,754.5443020535763
1,8,1102.839532,41.455,1269.6723868242582
1,8,689.000676,33.178,834.446100498907
1,8,1057.280331,39.916,1234.657334372902
1,8,1011.598467,37.83,1199.130403846773
1,8,686.127765,31.313,825.1288926472652
1,8,620.547256,29.607,742.4765394151193
1,8,685.279259,30.563,816.864163854205
1,8,705.022287,30.789,841.4357206749726
